Year,Hit,No.,Title,Artist(s)
1994,1,88,"""Got Me Waiting""","Heavy D & the Boyz
"
1994,1,89,"""December, 1963 (Oh, What a Night)""","The Four Seasons
"
1994,1,90,"""Indian Outlaw""","Tim McGraw
"
1994,1,91,"""Always""","Bon Jovi
"
1994,1,92,"""I'm the Only One""","Melissa Etheridge
"
1994,1,93,"""Back in the Day""","Ahmad
"
1994,1,94,"""Love Sneakin' Up On You""","Bonnie Raitt
"
1994,1,95,"""I'll Take You There""","General Public
"
1994,1,96,"""Always in My Heart""","Tevin Campbell
"
1994,1,97,"""What Is Love""","Haddaway
"
1994,1,98,"""And Our Feelings""","Babyface
"
1994,1,99,"""Bop Gun (One Nation)""","Ice Cube featuring George Clinton
"
1994,1,100,"""I Wanna Be Down""","Brandy
"
1995,1,1,"""Gangsta's Paradise""","Coolio featuring L.V.
"
1995,1,2,"""Waterfalls""","TLC
"
1995,1,3,"""Creep""","TLC
"
1995,1,4,"""Kiss from a Rose""","Seal
"
1995,1,5,"""On Bended Knee""","Boyz II Men
"
1995,1,6,"""Another Night""","Real McCoy
"
1995,1,7,"""Fantasy""","Mariah Carey
"
1995,1,8,"""Take a Bow""","Madonna
"
1995,1,9,"""Don't Take It Personal (Just One of Dem Days)""","Monica
"
1995,1,10,"""This Is How We Do It""","Montell Jordan
"
1995,1,11,"""I Know""","Dionne Farris
"
1995,1,12,"""Water Runs Dry""","Boyz II Men
"
1995,1,13,"""Freak Like Me""","Adina Howard
"
1995,1,14,"""Run-Around""","Blues Traveler
"
1995,1,15,"""I Can Love You Like That""","All-4-One
"
1995,1,16,"""Have You Ever Really Loved a Woman?""","Bryan Adams
"
1995,1,17,"""Always""","Bon Jovi
"
1995,1,18,"""Boombastic"" / ""In the Summertime""","Shaggy
"
1995,1,19,"""Total Eclipse of the Heart""","Nicki French
"
1995,1,20,"""You Gotta Be""","Des'ree
"
1995,1,21,"""You Are Not Alone""","Michael Jackson
"
1995,1,22,"""Hold My Hand""","Hootie & the Blowfish
"
1995,1,23,"""One More Chance/Stay with Me""","The Notorious B.I.G.
"
1995,1,24,"""Here Comes the Hotstepper""","Ini Kamoze
"
1995,1,25,"""Candy Rain""","Soul for Real
"
1995,1,26,"""Let Her Cry""","Hootie & the Blowfish
"
1995,1,27,"""I Believe""","Blessid Union of Souls
"
1995,1,28,"""Red Light Special""","TLC
"
1995,1,29,"""Runaway""","Janet Jackson
"
1995,1,30,"""Strong Enough""","Sheryl Crow
"
1995,1,31,"""Colors of the Wind""","Vanessa Williams
"
1995,1,32,"""Someone to Love""","Jon B. featuring Babyface
"
1995,1,33,"""Only Wanna Be with You""","Hootie & the Blowfish
"
1995,1,34,"""If You Love Me""","Brownstone
"
1995,1,35,"""In the House of Stone and Light""","Martin Page
"
1995,1,36,"""I Got 5 on It""","Luniz
"
1995,1,37,"""Baby""","Brandy
"
1995,1,38,"""Run Away""","Real McCoy
"
1995,1,39,"""As I Lay Me Down""","Sophie B. Hawkins
"
1995,1,40,"""He's Mine""","MoKenStef
"
1995,1,41,"""December""","Collective Soul
"
1995,1,42,"""I'll Be There for You/You're All I Need to Get By""","Method Man featuring Mary J. Blige
"
1995,1,43,"""Shy Guy""","Diana King
"
1995,1,44,"""I'm the Only One""","Melissa Etheridge
"
1995,1,45,"""Every Little Thing I Do""","Soul for Real
"
1995,1,46,"""Before I Let You Go""","Blackstreet
"
1995,1,47,"""Big Poppa"" / ""Warning""","The Notorious B.I.G.
"
1995,1,48,"""Sukiyaki""","4 P.M.
"
1995,1,49,"""I Wanna Be Down""","Brandy
"
1995,1,50,"""I'll Make Love to You""","Boyz II Men
"
1995,1,51,"""Dear Mama"" / ""Old School""","2Pac
"
1995,1,52,"""Hold On""","Jamie Walters
"
1995,1,53,"""Keep Their Heads Ringin'""","Dr. Dre
"
1995,1,54,"""The Rhythm of the Night""","Corona
"
1995,1,55,"""Roll to Me""","Del Amitri
"
1995,1,56,"""Scream"" / ""Childhood""","Michael Jackson and Janet Jackson
"
1995,1,57,"""Freek'n You""","Jodeci
"
1995,1,58,"""I Wish""","Skee-Lo
"
1995,1,59,"""Believe""","Elton John
"
1995,1,60,"""Carnival""","Natalie Merchant
"
1995,1,61,"""You Don't Know How It Feels""","Tom Petty
"
1995,1,62,"""Back for Good""","Take That
"
1995,1,63,"""Tootsee Roll""","69 Boyz
"
1995,1,64,"""You Want This"" / ""70's Love Groove""","Janet Jackson
"
1995,1,65,"""Tell Me""","Groove Theory
"
1995,1,66,"""Can't You See""","Total featuring The Notorious B.I.G.
"
1995,1,67,"""All I Wanna Do""","Sheryl Crow
"
1995,1,68,"""This Lil' Game We Play""","Subway featuring 702
"
1995,1,69,"""Come and Get Your Love""","Real McCoy
"
1995,1,70,"""This Ain't a Love Song""","Bon Jovi
"
1995,1,71,"""Secret""","Madonna
"
1995,1,72,"""Player's Anthem""","Junior M.A.F.I.A. featuring The Notorious B.I.G.
"
1995,1,73,"""Feel Me Flow""","Naughty by Nature
"
1995,1,74,"""Every Day of the Week""","Jade
"
1995,1,75,"""The Sweetest Days""","Vanessa Williams
"
1995,1,76,"""Short Dick Man""","20 Fingers featuring Gillette
"
1995,1,77,"""Brokenhearted""","Brandy
"
1995,1,78,"""No More I Love You's""","Annie Lennox
"
1995,1,79,"""You Used to Love Me""","Faith Evans
"
1995,1,80,"""Constantly""","Immature
"
1995,1,81,"""Hold Me, Thrill Me, Kiss Me, Kill Me""","U2
"
1995,1,82,"""100% Pure Love""","Crystal Waters
"
1995,1,83,"""Ask of You""","Raphael Saadiq
"
1995,1,84,"""Sugar Hill""","AZ
"
1995,1,85,"""Good""","Better Than Ezra
"
1995,1,86,"""Brown Sugar""","D'Angelo
"
1995,1,87,"""Turn the Beat Around""","Gloria Estefan
"
1995,1,88,"""'Til You Do Me Right""","After 7
"
1995,1,89,"""1st of tha Month""","Bone Thugs-n-Harmony
"
1995,1,90,"""Like the Way I Do"" / ""If I Wanted To""","Melissa Etheridge
"
1995,1,91,"""I Live My Life for You""","FireHouse
"
1995,1,92,"""Dream About You"" / ""Funky Melody""","Stevie B
"
1995,1,93,"""Cotton Eye Joe""","Rednex
"
1995,1,94,"""Thank You""","Boyz II Men
"
1995,1,95,"""I'll Stand by You""","The Pretenders
"
1995,1,96,"""I Miss You""","N II U
"
1995,1,97,"""Give It 2 You""","Da Brat
"
1995,1,98,"""Best Friend""","Brandy
"
1995,1,99,"""Misery""","Soul Asylum
"
1995,1,100,"""Can't Stop Lovin' You""","Van Halen
"
1996,1,1,"""Macarena (Bayside Boys Mix)""","Los del Río
"
1996,1,2,"""One Sweet Day""","Mariah Carey and Boyz II Men
"
1996,1,3,"""Because You Loved Me""","Céline Dion
"
1996,1,4,"""Nobody Knows""","The Tony Rich Project
"
1996,1,5,"""Always Be My Baby""","Mariah Carey
"
1996,1,6,"""Give Me One Reason""","Tracy Chapman
"
1996,1,7,"""Tha Crossroads""","Bone Thugs-n-Harmony
"
1996,1,8,"""I Love You Always Forever""","Donna Lewis
"
1996,1,9,"""You're Makin' Me High"" / ""Let It Flow""","Toni Braxton
"
1996,1,10,"""Twisted""","Keith Sweat
"
1996,1,11,"""C'mon N' Ride It (The Train)""","Quad City DJ's
"
1996,1,12,"""Missing""","Everything but the Girl
"
1996,1,13,"""Ironic""","Alanis Morissette
"
1996,1,14,"""Exhale (Shoop Shoop)""","Whitney Houston
"
1996,1,15,"""Follow You Down"" / ""Til I Hear It from You""","Gin Blossoms
"
1996,1,16,"""Sittin' Up in My Room""","Brandy
"
1996,1,17,"""How Do U Want It"" / ""California Love""","2Pac featuring K-Ci and JoJo / featuring Dr. Dre and Roger Troutman
"
1996,1,18,"""It's All Coming Back to Me Now""","Céline Dion
"
1996,1,19,"""Change the World""","Eric Clapton
"
1996,1,20,"""Hey Lover""","LL Cool J
"
1996,1,21,"""Loungin""","LL Cool J
"
1996,1,22,"""Insensitive""","Jann Arden
"
1996,1,23,"""Be My Lover""","La Bouche
"
1996,1,24,"""Name""","Goo Goo Dolls
"
1996,1,25,"""Who Will Save Your Soul""","Jewel
"
1996,1,26,"""Where Do You Go""","No Mercy
"
1996,1,27,"""I Can't Sleep Baby (If I)""","R. Kelly
"
1996,1,28,"""Counting Blue Cars""","Dishwalla
"
1996,1,29,"""You Learn"" / ""You Oughta Know""","Alanis Morissette
"
1996,1,30,"""One of Us""","Joan Osborne
"
1996,1,31,"""Wonder""","Natalie Merchant
"
1996,1,32,"""Not Gon' Cry""","Mary J. Blige
"
1996,1,33,"""Gangsta's Paradise""","Coolio featuring L.V.
"
1996,1,34,"""Only You""","112 featuring The Notorious B.I.G.
"
1996,1,35,"""Down Low (Nobody Has to Know)""","R. Kelly featuring Ronald Isley
"
1996,1,36,"""You're the One""","SWV
"
1996,1,37,"""Sweet Dreams""","La Bouche
"
1996,1,38,"""Before You Walk Out of My Life"" / ""Like This and Like That""","Monica
"
1996,1,39,"""Breakfast at Tiffany's""","Deep Blue Something
"
1996,1,40,"""1, 2, 3, 4 (Sumpin' New)""","Coolio
"
1996,1,41,"""The World I Know""","Collective Soul
"
1996,1,42,"""No Diggity""","Blackstreet featuring Dr. Dre
"
1996,1,43,"""Anything""","3T
"
1996,1,44,"""1979""","The Smashing Pumpkins
"
1996,1,45,"""Diggin' on You""","TLC
"
1996,1,46,"""Why I Love You So Much"" / ""Ain't Nobody""","Monica
"
1996,1,47,"""Kissin' You""","Total
"
1996,1,48,"""Count on Me""","Whitney Houston and CeCe Winans
"
1996,1,49,"""Fantasy""","Mariah Carey
"
1996,1,50,"""Time""","Hootie & the Blowfish
"
1996,1,51,"""You'll See""","Madonna
"
1996,1,52,"""Last Night""","Az Yet
"
1996,1,53,"""Mouth""","Merril Bainbridge
"
1996,1,54,"""The Earth, the Sun, the Rain""","Color Me Badd
"
1996,1,55,"""All the Things (Your Man Won't Do)""","Joe
"
1996,1,56,"""Wonderwall""","Oasis
"
1996,1,57,"""Woo Hah!! Got You All in Check"" / ""Everything Remains Raw""","Busta Rhymes
"
1996,1,58,"""Tell Me""","Groove Theory
"
1996,1,59,"""Elevators (Me & You)""","Outkast
"
1996,1,60,"""Hook""","Blues Traveler
"
1996,1,61,"""Doin' It""","LL Cool J
"
1996,1,62,"""Fastlove""","George Michael
"
1996,1,63,"""Touch Me, Tease Me""","Case featuring Foxy Brown
"
1996,1,64,"""Tonite's tha Night""","Kris Kross
"
1996,1,65,"""Children""","Robert Miles
"
1996,1,66,"""Theme from Mission: Impossible""","Adam Clayton and Larry Mullen
"
1996,1,67,"""Closer to Free""","BoDeans
"
1996,1,68,"""Just a Girl""","No Doubt
"
1996,1,69,"""If Your Girl Only Knew""","Aaliyah
"
1996,1,70,"""Lady""","D'Angelo
"
1996,1,71,"""Key West Intermezzo (I Saw You First)""","John Mellencamp
"
1996,1,72,"""Pony""","Ginuwine
"
1996,1,73,"""Nobody""","Keith Sweat featuring Athena Cage
"
1996,1,74,"""Old Man & Me (When I Get to Heaven)""","Hootie & the Blowfish
"
1996,1,75,"""If It Makes You Happy""","Sheryl Crow
"
1996,1,76,"""As I Lay Me Down""","Sophie B. Hawkins
"
1996,1,77,"""Keep On, Keepin' On""","MC Lyte featuring Xscape
"
1996,1,78,"""Jealousy""","Natalie Merchant
"
1996,1,79,"""I Want to Come Over""","Melissa Etheridge
"
1996,1,80,"""Who Do U Love""","Deborah Cox
"
1996,1,81,"""Un-Break My Heart""","Toni Braxton
"
1996,1,82,"""This Is Your Night""","Amber
"
1996,1,83,"""You Remind Me of Something""","R. Kelly
"
1996,1,84,"""Runaway""","Janet Jackson
"
1996,1,85,"""Set U Free""","Planet Soul
"
1996,1,86,"""Hit Me Off""","New Edition
"
1996,1,87,"""No One Else""","Total
"
1996,1,88,"""My Boo""","Ghost Town DJ's
"
1996,1,89,"""Get Money""","Junior M.A.F.I.A. featuring The Notorious B.I.G.
"
1996,1,90,"""That Girl""","Maxi Priest featuring Shaggy
"
1996,1,91,"""Po Pimp""","Do or Die featuring Twista
"
1996,1,92,"""Until It Sleeps""","Metallica
"
1996,1,93,"""Hay""","Crucial Conflict
"
1996,1,94,"""Beautiful Life""","Ace of Base
"
1996,1,95,"""Back for Good""","Take That
"
1996,1,96,"""I Got Id"" / ""Long Road""","Pearl Jam
"
1996,1,97,"""Soon as I Get Home""","Faith Evans
"
1996,1,98,"""Macarena""","Los del Río
"
1996,1,99,"""Only Wanna Be with You""","Hootie & the Blowfish
"
1996,1,100,"""Don't Cry""","Seal
"
1997,1,1,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""","Elton John
"
1997,1,2,"""You Were Meant for Me"" / ""Foolish Games""","Jewel
"
1997,1,3,"""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112
"
1997,1,4,"""Un-Break My Heart""","Toni Braxton
"
1997,1,5,"""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase
"
1997,1,6,"""I Believe I Can Fly""","R. Kelly
"
1997,1,7,"""Don't Let Go (Love)""","En Vogue
"
1997,1,8,"""Return of the Mack""","Mark Morrison
"
1997,1,9,"""How Do I Live""","LeAnn Rimes
"
1997,1,10,"""Wannabe""","Spice Girls
"
1997,1,11,"""Quit Playing Games (With My Heart)""","Backstreet Boys
"
1997,1,12,"""MMMBop""","Hanson
"
1997,1,13,"""For You I Will""","Monica
"
1997,1,14,"""You Make Me Wanna...""","Usher
"
1997,1,15,"""Bitch""","Meredith Brooks
"
1997,1,16,"""Nobody""","Keith Sweat featuring Athena Cage
"
1997,1,17,"""Semi-Charmed Life""","Third Eye Blind
"
1997,1,18,"""Barely Breathing""","Duncan Sheik
"
1997,1,19,"""Hard to Say I'm Sorry""","Az Yet featuring Peter Cetera
"
1997,1,20,"""Mo Money Mo Problems""","The Notorious B.I.G. featuring Puff Daddy and Mase
"
1997,1,21,"""The Freshmen""","The Verve Pipe
"
1997,1,22,"""I Want You""","Savage Garden
"
1997,1,23,"""No Diggity""","Blackstreet featuring Dr. Dre
"
1997,1,24,"""I Belong to You (Every Time I See Your Face)""","Rome
"
1997,1,25,"""Hypnotize""","The Notorious B.I.G.
"
1997,1,26,"""Every Time I Close My Eyes""","Babyface
"
1997,1,27,"""In My Bed""","Dru Hill
"
1997,1,28,"""Say You'll Be There""","Spice Girls
"
1997,1,29,"""Do You Know (What It Takes)""","Robyn
"
1997,1,30,"""4 Seasons of Loneliness""","Boyz II Men
"
1997,1,31,"""G.H.E.T.T.O.U.T.""","Changing Faces
"
1997,1,32,"""Honey""","Mariah Carey
"
1997,1,33,"""I Believe in You and Me""","Whitney Houston
"
1997,1,34,"""Da' Dip""","Freak Nasty
"
1997,1,35,"""2 Become 1""","Spice Girls
"
1997,1,36,"""All for You""","Sister Hazel
"
1997,1,37,"""Cupid""","112
"
1997,1,38,"""Where Have All the Cowboys Gone?""","Paula Cole
"
1997,1,39,"""Sunny Came Home""","Shawn Colvin
"
1997,1,40,"""It's Your Love""","Tim McGraw with Faith Hill
"
1997,1,41,"""Ooh Aah... Just a Little Bit""","Gina G
"
1997,1,42,"""Mouth""","Merril Bainbridge
"
1997,1,43,"""All Cried Out""","Allure featuring 112
"
1997,1,44,"""I'm Still in Love with You""","New Edition
"
1997,1,45,"""Invisible Man""","98 Degrees
"
1997,1,46,"""Not Tonight""","Lil' Kim featuring Da Brat, Left Eye, Missy Elliott and Angie Martinez
"
1997,1,47,"""Look into My Eyes""","Bone Thugs-n-Harmony
"
1997,1,48,"""Get It Together""","702
"
1997,1,49,"""All by Myself""","Céline Dion
"
1997,1,50,"""It's All Coming Back to Me Now""","Céline Dion
"
1997,1,51,"""My Love Is the Shhh!""","Somethin' for the People featuring Trina & Tamara
"
1997,1,52,"""Where Do You Go""","No Mercy
"
1997,1,53,"""I Finally Found Someone""","Barbra Streisand and Bryan Adams
"
1997,1,54,"""I'll Be""","Foxy Brown featuring Jay-Z
"
1997,1,55,"""If It Makes You Happy""","Sheryl Crow
"
1997,1,56,"""Never Make a Promise""","Dru Hill
"
1997,1,57,"""When You Love a Woman""","Journey
"
1997,1,58,"""Up Jumps da Boogie""","Magoo and Timbaland
"
1997,1,59,"""I Don't Want To"" / ""I Love Me Some Him""","Toni Braxton
"
1997,1,60,"""Everyday Is a Winding Road""","Sheryl Crow
"
1997,1,61,"""Cold Rock a Party""","MC Lyte
"
1997,1,62,"""Pony""","Ginuwine
"
1997,1,63,"""Building a Mystery""","Sarah McLachlan
"
1997,1,64,"""I Love You Always Forever""","Donna Lewis
"
1997,1,65,"""Your Woman""","White Town
"
1997,1,66,"""C U When U Get There""","Coolio featuring 40 Thevz
"
1997,1,67,"""Change the World""","Eric Clapton
"
1997,1,68,"""My Baby Daddy""","B-Rock and the Bizz
"
1997,1,69,"""Tubthumping""","Chumbawamba
"
1997,1,70,"""Gotham City""","R. Kelly
"
1997,1,71,"""Last Night""","Az Yet
"
1997,1,72,"""ESPN Presents The Jock Jam""","Various Artists
"
1997,1,73,"""Big Daddy""","Heavy D
"
1997,1,74,"""What About Us""","Total
"
1997,1,75,"""Smile""","Scarface featuring 2Pac and Johnny P.
"
1997,1,76,"""What's on Tonight""","Montell Jordan
"
1997,1,77,"""Secret Garden""","Bruce Springsteen
"
1997,1,78,"""The One I Gave My Heart To""","Aaliyah
"
1997,1,79,"""Fly Like an Eagle""","Seal
"
1997,1,80,"""No Time""","Lil' Kim featuring Puff Daddy
"
1997,1,81,"""Naked Eye""","Luscious Jackson
"
1997,1,82,"""Macarena (Bayside Boys Mix)""","Los del Río
"
1997,1,83,"""On & On""","Erykah Badu
"
1997,1,84,"""Don't Wanna Be a Player""","Joe
"
1997,1,85,"""I Shot the Sheriff""","Warren G
"
1997,1,86,"""You Should Be Mine (Don't Waste Your Time)""","Brian McKnight featuring Mase
"
1997,1,87,"""Don't Cry for Me Argentina""","Madonna
"
1997,1,88,"""Someone""","SWV featuring Puff Daddy
"
1997,1,89,"""Go the Distance""","Michael Bolton
"
1997,1,90,"""One More Time""","Real McCoy
"
1997,1,91,"""Butta Love""","Next
"
1997,1,92,"""Coco Jamboo""","Mr. President
"
1997,1,93,"""Twisted""","Keith Sweat
"
1997,1,94,"""Barbie Girl""","Aqua
"
1997,1,95,"""When You're Gone"" / ""Free to Decide""","The Cranberries
"
1997,1,96,"""Let Me Clear My Throat""","DJ Kool
"
1997,1,97,"""I Like It""","The Blackout All-Stars
"
1997,1,98,"""You're Makin' Me High"" / ""Let It Flow""","Toni Braxton
"
1997,1,99,"""You Must Love Me""","Madonna
"
1997,1,100,"""Let It Go""","Ray J
"
1998,1,1,"""Too Close""","Next
"
1998,1,2,"""The Boy Is Mine""","Brandy and Monica
"
1998,1,3,"""You're Still the One""","Shania Twain
"
1998,1,4,"""Truly Madly Deeply""","Savage Garden
"
1998,1,5,"""How Do I Live""","LeAnn Rimes
"
1998,1,6,"""Together Again""","Janet
"
1998,1,7,"""All My Life""","K-Ci & JoJo
"
1998,1,8,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""","Elton John
"
1998,1,9,"""Nice & Slow""","Usher
"
1998,1,10,"""I Don't Want to Wait""","Paula Cole
"
1998,1,11,"""How's It Going to Be""","Third Eye Blind
"
1998,1,12,"""No, No, No""","Destiny's Child
"
1998,1,13,"""My Heart Will Go On""","Céline Dion
"
1998,1,14,"""Gettin' Jiggy wit It""","Will Smith
"
1998,1,15,"""You Make Me Wanna...""","Usher
"
1998,1,16,"""My Way""","Usher
"
1998,1,17,"""My All""","Mariah Carey
"
1998,1,18,"""The First Night""","Monica
"
1998,1,19,"""Been Around the World""","Puff Daddy & the Family featuring The Notorious B.I.G. and Mase
"
1998,1,20,"""Adia""","Sarah McLachlan
"
1998,1,21,"""Crush""","Jennifer Paige
"
1998,1,22,"""Everybody (Backstreet's Back)""","Backstreet Boys
"
1998,1,23,"""I Don't Want to Miss a Thing""","Aerosmith
"
1998,1,24,"""Body Bumpin' (Yippie-Yi-Yo)""","Public Announcement
"
1998,1,25,"""This Kiss""","Faith Hill
"
1998,1,26,"""I Don't Ever Want to See You Again""","Uncle Sam
"
1998,1,27,"""Let's Ride""","Montell Jordan featuring Master P and Silkk the Shocker
"
1998,1,28,"""Sex and Candy""","Marcy Playground
"
1998,1,29,"""Show Me Love""","Robyn
"
1998,1,30,"""A Song for Mama""","Boyz II Men
"
1998,1,31,"""What You Want""","Mase featuring Total
"
1998,1,32,"""Frozen""","Madonna
"
1998,1,33,"""Gone till November""","Wyclef Jean
"
1998,1,34,"""My Body""","LSG
"
1998,1,35,"""Tubthumping""","Chumbawamba
"
1998,1,36,"""Deja Vu (Uptown Baby)""","Lord Tariq and Peter Gunz
"
1998,1,37,"""I Want You Back""","'N Sync
"
1998,1,38,"""When the Lights Go Out""","Five
"
1998,1,39,"""They Don't Know""","Jon B.
"
1998,1,40,"""Make 'Em Say Uhh!""","Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal
"
1998,1,41,"""Make It Hot""","Nicole featuring Missy Elliott and Mocha
"
1998,1,42,"""Never Ever""","All Saints
"
1998,1,43,"""I Get Lonely""","Janet featuring Blackstreet
"
1998,1,44,"""Feel So Good""","Mase
"
1998,1,45,"""Say It""","Voices of Theory
"
1998,1,46,"""Kiss the Rain""","Billie Myers
"
1998,1,47,"""Come with Me""","Puff Daddy featuring Jimmy Page
"
1998,1,48,"""Romeo and Juliet""","Sylk-E. Fyne featuring Chill
"
1998,1,49,"""It's All About Me""","Mýa and Sisqo
"
1998,1,50,"""I Will Come to You""","Hanson
"
1998,1,51,"""One Week""","Barenaked Ladies
"
1998,1,52,"""Swing My Way""","K. P. & Envyi
"
1998,1,53,"""The Arms of the One Who Loves You""","Xscape
"
1998,1,54,"""My Love Is the Shhh!""","Somethin' for the People featuring Trina & Tamara
"
1998,1,55,"""Daydreamin'""","Tatyana Ali
"
1998,1,56,"""We're Not Making Love No More""","Dru Hill
"
1998,1,57,"""Semi-Charmed Life""","Third Eye Blind
"
1998,1,58,"""I Do""","Lisa Loeb
"
1998,1,59,"""Lookin' at Me""","Mase featuring Puff Daddy
"
1998,1,60,"""Looking Through Your Eyes""","LeAnn Rimes
"
1998,1,61,"""Lately""","Divine
"
1998,1,62,"""Quit Playing Games (With My Heart)""","Backstreet Boys
"
1998,1,63,"""I Still Love You""","Next
"
1998,1,64,"""Time After Time""","INOJ
"
1998,1,65,"""Are You Jimmy Ray?""","Jimmy Ray
"
1998,1,66,"""Cruel Summer""","Ace of Base
"
1998,1,67,"""I Got the Hook Up""","Master P featuring Sons of Funk
"
1998,1,68,"""Victory""","Puff Daddy & the Family featuring The Notorious B.I.G. and Busta Rhymes
"
1998,1,69,"""Too Much""","Spice Girls
"
1998,1,70,"""Ghetto Supastar (That Is What You Are)""","Pras Michel featuring Ol' Dirty Bastard and Mýa
"
1998,1,71,"""How Deep Is Your Love""","Dru Hill featuring Redman
"
1998,1,72,"""Friend of Mine""","Kelly Price
"
1998,1,73,"""Turn It Up (Remix)/Fire It Up""","Busta Rhymes
"
1998,1,74,"""I'll Be""","Edwin McCain
"
1998,1,75,"""Ray of Light""","Madonna
"
1998,1,76,"""All for You""","Sister Hazel
"
1998,1,77,"""Touch It""","Monifah
"
1998,1,78,"""Money, Power & Respect""","The Lox featuring DMX and Lil' Kim
"
1998,1,79,"""Bitter Sweet Symphony""","The Verve
"
1998,1,80,"""Dangerous""","Busta Rhymes
"
1998,1,81,"""Spice Up Your Life""","Spice Girls
"
1998,1,82,"""Because of You""","98 Degrees
"
1998,1,83,"""The Mummers' Dance""","Loreena McKennitt
"
1998,1,84,"""All Cried Out""","Allure featuring 112
"
1998,1,85,"""Still Not a Player""","Big Punisher featuring Joe
"
1998,1,86,"""The One I Gave My Heart To""","Aaliyah
"
1998,1,87,"""Foolish Games"" / ""You Were Meant for Me""","Jewel
"
1998,1,88,"""Love You Down""","INOJ
"
1998,1,89,"""Do for Love""","2Pac featuring Eric Williams
"
1998,1,90,"""Raise the Roof""","Luke featuring No Good But So Good
"
1998,1,91,"""Heaven""","Nu Flavor
"
1998,1,92,"""The Party Continues""","JD featuring Da Brat
"
1998,1,93,"""Sock It 2 Me""","Missy Elliott featuring Da Brat
"
1998,1,94,"""Butta Love""","Next
"
1998,1,95,"""A Rose Is Still a Rose""","Aretha Franklin
"
1998,1,96,"""4 Seasons of Loneliness""","Boyz II Men
"
1998,1,97,"""Father""","LL Cool J
"
1998,1,98,"""Thinkin' Bout It""","Gerald Levert
"
1998,1,99,"""Nobody's Supposed to Be Here""","Deborah Cox
"
1998,1,100,"""Westside""","TQ
"
1999,1,1,"""Believe""","Cher
"
1999,1,2,"""No Scrubs""","TLC
"
1999,1,3,"""Angel of Mine""","Monica
"
1999,1,4,"""Heartbreak Hotel""","Whitney Houston featuring Faith Evans and Kelly Price
"
1999,1,5,"""...Baby One More Time""","Britney Spears
"
1999,1,6,"""Kiss Me""","Sixpence None the Richer
"
1999,1,7,"""Genie in a Bottle""","Christina Aguilera
"
1999,1,8,"""Every Morning""","Sugar Ray
"
1999,1,9,"""Nobody's Supposed to Be Here""","Deborah Cox
"
1999,1,10,"""Livin' la Vida Loca""","Ricky Martin
"
1999,1,11,"""Where My Girls At?""","702
"
1999,1,12,"""If You Had My Love""","Jennifer Lopez
"
1999,1,13,"""Slide""","Goo Goo Dolls
"
1999,1,14,"""Have You Ever?""","Brandy
"
1999,1,15,"""I Want It That Way""","Backstreet Boys
"
1999,1,16,"""I'm Your Angel""","R. Kelly and Celine Dion
"
1999,1,17,"""All Star""","Smash Mouth
"
1999,1,18,"""Angel""","Sarah McLachlan
"
1999,1,19,"""Smooth""","Santana featuring Rob Thomas
"
1999,1,20,"""Unpretty""","TLC
"
1999,1,21,"""Bills, Bills, Bills""","Destiny's Child
"
1999,1,22,"""Save Tonight""","Eagle-Eye Cherry
"
1999,1,23,"""Last Kiss""","Pearl Jam
"
1999,1,24,"""Fortunate""","Maxwell
"
1999,1,25,"""All I Have to Give""","Backstreet Boys
"
1999,1,26,"""Bailamos""","Enrique Iglesias
"
1999,1,27,"""What's It Gonna Be?!""","Busta Rhymes featuring Janet
"
1999,1,28,"""What It's Like""","Everlast
"
1999,1,29,"""Fly Away""","Lenny Kravitz
"
1999,1,30,"""Someday""","Sugar Ray
"
1999,1,31,"""Lately""","Divine
"
1999,1,32,"""That Don't Impress Me Much""","Shania Twain
"
1999,1,33,"""Wild Wild West""","Will Smith featuring Dru Hill and Kool Moe Dee
"
1999,1,34,"""Scar Tissue""","Red Hot Chili Peppers
"
1999,1,35,"""Heartbreaker""","Mariah Carey featuring Jay-Z
"
1999,1,36,"""I Still Believe""","Mariah Carey
"
1999,1,37,"""The Hardest Thing""","98 Degrees
"
1999,1,38,"""Summer Girls""","LFO
"
1999,1,39,"""Can I Get A...""","Jay-Z featuring Amil and Ja Rule
"
1999,1,40,"""Jumper""","Third Eye Blind
"
1999,1,41,"""Doo Wop (That Thing)""","Lauryn Hill
"
1999,1,42,"""Mambo No. 5""","Lou Bega
"
1999,1,43,"""Sweet Lady""","Tyrese
"
1999,1,44,"""It's Not Right but It's Okay""","Whitney Houston
"
1999,1,45,"""(God Must Have Spent) A Little More Time on You""","'N Sync
"
1999,1,46,"""Lullaby""","Shawn Mullins
"
1999,1,47,"""Anywhere""","112 featuring Lil Zane
"
1999,1,48,"""Tell Me It's Real""","K-Ci & JoJo
"
1999,1,49,"""Back 2 Good""","Matchbox 20
"
1999,1,50,"""808""","Blaque
"
1999,1,51,"""She's So High""","Tal Bachman
"
1999,1,52,"""She's All I Ever Had""","Ricky Martin
"
1999,1,53,"""Miami""","Will Smith
"
1999,1,54,"""Hands""","Jewel
"
1999,1,55,"""Who Dat""","JT Money featuring Solé
"
1999,1,56,"""Please Remember Me""","Tim McGraw
"
